Timestamp,english,hebrew,transliteration,description,image
,Solution,פִּתָרוֹן,peter-ron,Peter Pan and Ron Weasly cooking up a solution,https://res.cloudinary.com/deknbultg/image/upload/v1758219668/ottwrnbwtotrry1tcpdg.jpg
9/18/2025 23:30:10,Obviously,כַּמּוּבָן,ka-mu-van,A camo colored van that is OBVIOUSLY not camouflaged,images/Obviously.jpeg
9/22/2025 11:40:04,Party,‏מסיבה,messy-bar,A messy bar with a party going on ,https://res.cloudinary.com/deknbultg/image/upload/v1758530294/ta4pz7zk1p78ukqcdaea.jpg
9/22/2025 12:00:30,To pamper,‏לפנק,le-pha-neck,Somebody being pampered with a fan and a neck massage,https://res.cloudinary.com/deknbultg/image/upload/v1758531477/hahd0zllibaov4s73idi.jpg
,To cancel,לְבַטֵּל,le-va-tel,A levatating man CANCELLING a telephone call,images/To cancel.jpeg
9/18/2025 23:38:00,Plate,צַלַּחַת,tza-la-chat,A salad on a PLATE with a hat  on,images/Plate.jpeg
,Box,קֻפְסָה,kuf-sa,A Coffee and a sausage in a box,images/Box.jpeg
9/22/2025 12:29:42,Stuck,‏תקוע,tak-oo-ah,A taco stuck to the back of a cow,https://res.cloudinary.com/deknbultg/image/upload/v1758533341/rbgoea4oddambe2qytw0.jpg
,Document,מִסְמָךְ,mis-mach,A DOCUMENT that has won the Miss Math award,images/Document.jpeg
9/18/2025 23:19:29,Originally,בְּמָקוֹר,be-ma-kor,A Big Mac and an Apple core ORIGINALLY from the Garden of Eden,images/Originally.jpeg
9/22/2025 12:28:34,Opportunity,‏הזדמנות,hiz-dam-noot,An opportunistic beaver that is working on a dam to release nuts,https://res.cloudinary.com/deknbultg/image/upload/v1758533262/cr4nxs8xhffvspgynsfd.jpg
9/22/2025 12:27:24,Sign,‏שלט,shell-et,a sign make of a shell,https://res.cloudinary.com/deknbultg/image/upload/v1758533203/vhsmbddtd3oecpl141xu.jpg
,To smile,לְחַיֵּךְ,le-kha-yekh,A SMILING Yak with a Chai necklace,images/To smile.jpeg
,To be excited,לְהִתְרַגֵּשׁ,le-hit-ra-gesh,An S that has just hit a rag to an EXCITED crowd,images/To be excited.jpeg
,To enjoy,לֵיהָנוֹת,le-ha-not,A Hen with a knotted belt ENJOYING,images/To enjoy.jpeg
,To exchange,לְהַחֲלִיף,le-ha-kha-lif,A hacker with a leaf crown exchanging data,images/To exchange.jpeg
,To improve,לְשַׁפֵּר,le-sha-per,A surfboard shaper that is IMPROVING,images/To improve.jpeg
,In the meantime,בֵּינְתַיִם,bein-ta-yim,Ben Afflec tying a tie IN THE MEANTIME,images/In the meantime.jpeg
,To get a haircut,לְהִסְתַּפֵּר,le-his-ta-per,A squirrel GETTING A HAIRCUT from a hissing snake,images/To get a haircut.jpeg
,To get married,לְהִתְחַתֵּן,le-hit-cha-ten,A bride about to hit a cat GETTING MARRIED,images/To get married.jpeg
,To improve oneself,לְהִשְׁתַּפֵּר,le-hish-ta-per,A squirrel thats IMPROVED HIMSELF being shushed while holding a pear,images/To improve oneself.jpeg
,To laugh,לִצְחֹק,lits-khok,A lit match LAUGHING and chocking,images/To laugh.jpeg
,To make an effort,לְהִשְׁתַּדֵּל,le-hish-ta-del,A hysterical squirrel thats MAKING AN EFFORT being shushed in a Deli  ,images/To make an effort.jpeg
,To prepare,לְהָכִין,le-ha-chin,A lego king PREPARING,images/To prepare.jpeg
9/22/2025 12:25:56,To push,‏לדחוף,lid-chof,A line of coughing lids with some pushing,https://res.cloudinary.com/deknbultg/image/upload/v1758533102/kvywp4wmdqwytqv46zw2.jpg
,To raise up,להרים,le-harim,A sultan RAISING his hands surrounded by his hareem,images/To raise up.jpeg
9/19/2025 20:08:32,To suggest,להציע,le-hat-tzia,A hat fortune teller making a suggestion,https://res.cloudinary.com/deknbultg/image/upload/v1758301546/zvag66ujsz08nitbtjwz.jpg
9/22/2025 12:13:01,To touch,‏לגעת,le-gah-at,Lady Gaga touching a cat ,https://res.cloudinary.com/deknbultg/image/upload/v1758532340/kddyvyipnx5egtq5ourz.jpg
9/22/2025 11:48:34,To vomit,‏להקיא,le-ha-key,A hacker vomitting out a key ,https://res.cloudinary.com/deknbultg/image/upload/v1758530803/du1elo7bgkmegx1rq4bq.jpg
9/25/2025 14:20:14,Sure,‏בטוח,be-tu-ach,Tupac betting 2 on a sure thing ,https://res.cloudinary.com/deknbultg/image/upload/v1758799150/dwwfhjidn8jiouljse4v.jpg
